Mandatory Event ID,Depository Event ID,Event Source,Event Type,Entry Code,Event Status,Business Line,Security Name,Security Code,CUSIP,ISIN,Jurisdiction,Depository,Depository Account,Submit/Hold Indicator,Submit/Hold Security Name,Submit/Hold Security Code,Submit/Hold ISIN,Submit/Hold Rate,Receive Security Name,Receive Security Code,Receive ISIN,Receive Rate,Receive Currency,Cash Rate,Record Date,Ex Date,Anticipated Payable Date,Actual Payable Date,Publish Date,Holder Count,Total Holdings,Control Account,Payment Required Flag,Payment Received Flag,Payment Processed Flag,Discrepancy Flag,Discrepancy Resolution Notes,Published to DSNet Flag,Published By,Reviewed By,Final Status
MEQ-040116,DEP-91000116,Issuer Direct,Full Call,FCAL,Published,Capital Markets,Oakhill Bio AG,S396443,ZFEPBYB0O,GBZFEPBYB0O0,Cayman Islands,Euroclear,DA-5970,Hold,Oakhill Bio AG,S396443,GBZFEPBYB0O0,3.4027,,,,,,26.2973,2025-11-13,2025-11-15,2025-11-17,2025-11-18,2025-11-03,2706,8935212,CA-53035,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040117,DEP-91000117,Issuer Direct,ADR Termination,ADRT,Closed,Direct Investing,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,United Kingdom,Euroclear,DA-9672,Submit,Kestrel Holdings NV,S997319,USXVSDIEX0Q9,1.5881,Brightcap Industries plc,S179923,GBIYTFUDECA0,0.9119,CAD,15.1022,2025-12-23,2025-12-25,2026-01-04,2026-01-06,2025-12-10,3276,2404584,CA-80757,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040118,DEP-91000118,Issuer Direct,Stock Dividend,STDV,Published,Direct Investing,Juniper Bank plc,S646471,15YKTKQS7,US15YKTKQS73,United Kingdom,DTC,DA-7781,Hold,Juniper Bank plc,S646471,US15YKTKQS73,2.9092,Ironbridge Bio AG,S037639,KYRBSOBVMN59,2.5335,EUR,35.7601,2025-11-01,2025-11-01,2025-11-11,2025-11-12,2025-10-18,575,2687550,CA-28495,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub C,Rev 3,Completed
MEQ-040119,DEP-91000119,Issuer Direct,No Payment / Deemed Worthless,NPMT,Closed,Wealth Management,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Bermuda,CDS,DA-3985,Hold,Fairhaven Logistics AG,S951288,CAEKLS5ZYG24,2.3207,,,,,,,2026-03-11,2026-03-13,2026-03-24,,2026-03-08,3819,9982866,CA-25954,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040120,DEP-91000120,Issuer Direct,Full Call,FCAL,Published,Direct Investing,Cedarwood Resources SE,S016798,NIM4FYJ1L,BMNIM4FYJ1L8,United States,Euroclear,DA-2223,Submit,Cedarwood Resources SE,S016798,BMNIM4FYJ1L8,4.0854,,,,,,17.9718,2025-08-26,2025-08-28,2025-09-06,2025-09-06,2025-08-23,2032,1418336,CA-92866,Y,Y,N,N,,Y,Pub C,Rev 2,In Progress
MEQ-040121,DEP-91000121,I&TS,Consolidation,CONS,Published,Asset Servicing,Nightingale Bank Inc,S352887,UFPYRP15N,CAUFPYRP15N1,United States,DTC,DA-6984,Hold,Nightingale Bank Inc,S352887,CAUFPYRP15N1,1.2116,,,,,,19.4233,2025-07-22,2025-07-24,2025-08-06,2025-08-06,2025-07-13,218,798098,CA-35502,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040122,DEP-91000122,Broadridge,Cash Merger,CMER,Pending,Wealth Management,Brightcap Resources AG,S452948,8BKK9TOR1,BM8BKK9TOR17,Cayman Islands,DTC,DA-6644,Submit,Brightcap Resources AG,S452948,BM8BKK9TOR17,4.5498,,,,,,30.4243,2025-11-27,2025-11-29,2025-12-13,2025-12-15,2025-11-15,2252,3891456,CA-54434,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub A,Rev 3,Completed
MEQ-040123,DEP-91000123,I&TS,Merger,MERG,Closed,Wealth Management,Meadowfield Logistics plc,S589485,N0BIMVE3K,BMN0BIMVE3K4,Bermuda,DTC,DA-1346,Hold,Meadowfield Logistics plc,S589485,BMN0BIMVE3K4,3.998,Pinewright Industries plc,S073457,KYP7AMV17FX7,1.208,EUR,30.2861,2026-02-13,2026-02-14,2026-02-20,2026-02-22,2026-02-08,1686,613704,CA-56540,Y,Y,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040124,DEP-91000124,I&TS,Consolidation,CONS,Published,Wealth Management,Brightcap Capital SA,S807955,JC6H1V564,CAJC6H1V5643,United Kingdom,I&TS,DA-1264,Hold,Brightcap Capital SA,S807955,CAJC6H1V5643,2.0519,,,,,,9.4361,2025-12-19,2025-12-19,2025-12-22,2025-12-24,2025-12-04,2287,9580243,CA-99547,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040125,DEP-91000125,Euroclear,Merger,MERG,Pending,Capital Markets,Meadowfield Communications SE,S058327,BY8RE4H3U,USBY8RE4H3U8,Cayman Islands,DTC,DA-6556,Hold,Meadowfield Communications SE,S058327,USBY8RE4H3U8,3.1422,Aldergrove Pharmaceuticals SE,S586804,CAGSTXGSLKX5,1.1159,USD,48.2621,2026-01-18,2026-01-18,2026-02-01,2026-02-02,2026-01-12,3734,17968008,CA-15043,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040126,DEP-91000126,I&TS,Pushout / Cancellation,PUSH,Cancelled,Wealth Management,Nightingale Pharmaceuticals SE,S437191,XBGFSKFEO,CAXBGFSKFEO4,United States,I&TS,DA-8826,Submit,Nightingale Pharmaceuticals SE,S437191,CAXBGFSKFEO4,4.0064,,,,,,6.4264,2025-06-12,2025-06-13,2025-06-24,2025-06-27,2025-05-31,725,2594050,CA-45066,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040127,DEP-91000127,I&TS,Consolidation,CONS,Published,Direct Investing,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,United Kingdom,Euroclear,DA-8293,Hold,Kestrel Holdings NV,S997319,USXVSDIEX0Q9,4.1977,,,,,,28.824,2026-03-08,2026-03-10,2026-03-12,2026-03-15,2026-03-01,1457,3163147,CA-22917,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040128,DEP-91000128,Euroclear,Partial Call,PCAL,Published,Direct Investing,Brightcap Industries Inc,S432184,GZ023BQ12,KYGZ023BQ123,United Kingdom,I&TS,DA-9593,Submit,Brightcap Industries Inc,S432184,KYGZ023BQ123,2.9822,,,,,,7.0955,2026-02-02,2026-02-03,2026-02-05,2026-02-05,2026-01-23,1330,2999150,CA-53754,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040129,DEP-91000129,I&TS,Rights Expiration,REXP,Pending,Direct Investing,Zephyr Properties NV,S898920,2V9BK9CQJ,US2V9BK9CQJ0,Cayman Islands,I&TS,DA-4014,Hold,Zephyr Properties NV,S898920,US2V9BK9CQJ0,3.343,,,,,,,2025-11-20,2025-11-22,2025-11-24,,2025-11-06,2535,9645675,CA-47629,N,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040130,DEP-91000130,Broadridge,Full Call,FCAL,Published,Wealth Management,Ironbridge Bio AG,S037639,RBSOBVMN5,KYRBSOBVMN59,United States,DTC,DA-6708,Submit,Ironbridge Bio AG,S037639,KYRBSOBVMN59,4.2141,,,,,,21.4077,2026-02-28,2026-03-02,2026-03-17,,2026-02-23,1519,4471936,CA-75650,Y,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040131,DEP-91000131,DTC,Warrant Expiration,WEXP,Cancelled,Capital Markets,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Cayman Islands,CDS,DA-3713,Hold,Meadowfield Bio Ltd,S882089,USBNWJM9ZT49,2.8263,,,,,,,2026-04-07,2026-04-09,2026-04-21,,2026-03-23,3611,17816674,CA-31670,N,N,N,N,,Y,Pub B,Rev 1,In Progress
MEQ-040132,DEP-91000132,I&TS,Exchange,EXCH,Published,Capital Markets,Harborlight Mining SA,S131933,GF99CJYLP,CAGF99CJYLP8,United Kingdom,DTC,DA-3458,Submit,Harborlight Mining SA,S131933,CAGF99CJYLP8,3.4604,Zephyr Technology Inc,S650358,CA8V5SCD7TS3,1.108,USD,24.4625,2026-01-27,2026-01-27,2026-02-03,2026-02-06,2026-01-17,2908,9023524,CA-88618,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040133,DEP-91000133,DTC,Unit Split,USPL,Published,Wealth Management,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,Bermuda,I&TS,DA-1356,Hold,Pinewright Industries plc,S073457,KYP7AMV17FX7,3.7784,Saltmarsh Holdings Ltd,S659233,KYMFJ6SEMJ83,2.1217,USD,48.6781,2026-01-28,2026-01-30,2026-02-13,2026-02-15,2026-01-20,263,746131,CA-16139,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040134,DEP-91000134,Issuer Direct,Exchange,EXCH,Published,Direct Investing,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,Canada,I&TS,DA-5895,Hold,Harborlight Aerospace Inc,S271586,CAZM2NGCQVP3,0.9538,Cedarwood Industries plc,S673871,KYB463O9A4D0,2.5766,EUR,46.2364,2025-09-17,2025-09-17,2025-09-26,2025-09-27,2025-09-02,3368,7322032,CA-46276,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040135,DEP-91000135,Issuer Direct,Name Change,NAME,Pending,Direct Investing,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,Cayman Islands,Euroclear,DA-7780,Submit,Westmark Pharmaceuticals SA,S210795,USMY3EKSVKF9,2.335,,,,,,,2026-02-20,2026-02-22,2026-03-03,,2026-02-05,2531,4748156,CA-29134,N,N,N,N,,Y,Pub C,Rev 3,In Progress
MEQ-040136,DEP-91000136,I&TS,Rights Expiration,REXP,Pending,Asset Servicing,Nightingale Communications NV,S907871,PR3TT2SBJ,KYPR3TT2SBJ1,Cayman Islands,CDS,DA-1711,Hold,Nightingale Communications NV,S907871,KYPR3TT2SBJ1,4.8193,,,,,,,2025-09-28,2025-09-29,2025-10-08,,2025-09-13,1252,5920708,CA-87258,N,N,N,N,,Y,Pub C,Rev 2,In Progress
MEQ-040137,DEP-91000137,CDS,Warrant Expiration,WEXP,Cancelled,Direct Investing,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,Bermuda,DTC,DA-4625,Submit,Zephyr Communications plc,S519946,USNOS5NV2EQ2,0.521,,,,,,,2025-11-12,2025-11-12,2025-11-23,,2025-10-30,2320,7955280,CA-62683,N,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040138,DEP-91000138,DTC,Consolidation,CONS,Published,Wealth Management,Umbra Technology SE,S970784,MD17LCOGJ,BMMD17LCOGJ6,Bermuda,CDS,DA-8410,Hold,Umbra Technology SE,S970784,BMMD17LCOGJ6,1.7761,,,,,,24.9222,2025-12-15,2025-12-16,2025-12-25,2025-12-26,2025-12-12,2671,5368710,CA-49506,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040139,DEP-91000139,Euroclear,Cash and Shares,CASH,Published,Asset Servicing,Westmark Communications NV,S699641,XZLLXH802,KYXZLLXH8020,Canada,DTC,DA-3590,Submit,Westmark Communications NV,S699641,KYXZLLXH8020,1.4125,Oakhill Logistics Corp,S600207,KYMM1XVFLZZ2,0.2913,CAD,7.2238,2025-12-21,2025-12-21,2025-12-23,2025-12-24,2025-12-07,193,650217,CA-74598,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040140,DEP-91000140,Broadridge,Liquidation,LIQ,Cancelled,Capital Markets,Juniper Bank plc,S646471,15YKTKQS7,US15YKTKQS73,United Kingdom,DTC,DA-5930,Submit,Juniper Bank plc,S646471,US15YKTKQS73,4.9283,,,,,,19.4995,2026-03-06,2026-03-06,2026-03-14,2026-03-14,2026-03-02,93,34410,CA-16968,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
